sample	r1_raw	r2_raw	r1_trimmed_paired	r2_trimmed_paired
sample2177	2004	2004	2004	2004
sample2433	2004	2004	2004	2004
sample2689	2004	2004	2004	2004
sample1921	2004	2004	2004	2004
sample2690	2004	2004	2004	2004
sample2178	2004	2004	2003	2003
sample2434	2004	2004	2004	2004
sample1922	2004	2004	2004	2004
sample2691	2004	2004	2004	2004
sample2179	2004	2004	2004	2004
sample2435	2004	2004	2003	2003
sample1923	2004	2004	2003	2003
sample2692	2004	2004	2004	2004
sample2180	2004	2004	2004	2004
sample2436	2004	2004	2003	2003
sample1924	2004	2004	2004	2004
sample2693	2004	2004	2004	2004
sample2181	2004	2004	2003	2003
sample2437	2004	2004	2004	2004
sample1925	2004	2004	2002	2002
sample2694	2004	2004	2003	2003
sample2182	2004	2004	2004	2004
sample2438	2004	2004	2004	2004
sample1926	2004	2004	2003	2003
sample2695	2004	2004	2004	2004
sample2183	2004	2004	2003	2003
sample2439	2004	2004	2003	2003
sample1927	2004	2004	2004	2004
sample2696	2004	2004	2004	2004
sample2184	2004	2004	2004	2004
sample2440	2004	2004	2004	2004
sample2697	2004	2004	2003	2003
sample2185	2004	2004	2003	2003
sample1928	2004	2004	2004	2004
sample2441	2004	2004	2003	2003
sample2186	2004	2004	2004	2004
sample2698	2004	2004	2002	2002
sample1929	2004	2004	2003	2003
sample2442	2004	2004	2004	2004
sample2699	2004	2004	2004	2004
sample2187	2004	2004	2001	2001
sample1930	2004	2004	2003	2003
sample2700	2004	2004	2002	2002
sample2188	2004	2004	2004	2004
sample2443	2004	2004	2003	2003
sample1931	2004	2004	2003	2003
sample2701	2004	2004	2003	2003
sample2189	2004	2004	2004	2004
sample2444	2004	2004	2004	2004
sample1932	2004	2004	2001	2001
sample2702	2004	2004	2003	2003
sample2190	2004	2004	2001	2001
sample2445	2004	2004	2002	2002
sample1933	2004	2004	2002	2002
sample2703	2004	2004	2002	2002
sample2191	2004	2004	2003	2003
sample2446	2004	2004	2001	2001
sample1934	2004	2004	2003	2003
sample2704	2004	2004	2003	2003
sample2192	2004	2004	2002	2002
sample2447	2004	2004	2002	2002
sample1935	2004	2004	2004	2004
sample2193	2004	2004	2003	2003
sample2705	2004	2004	2004	2004
sample2448	2004	2004	2004	2004
sample2706	2004	2004	2003	2003
sample1936	2004	2004	2004	2004
sample2194	2004	2004	2004	2004
sample2449	2004	2004	2004	2004
sample2195	2004	2004	2002	2002
sample2707	2004	2004	2003	2003
sample1937	2004	2004	2004	2004
sample2450	2004	2004	2004	2004
sample2196	2004	2004	2003	2003
sample2708	2004	2004	2001	2001
sample1938	2004	2004	2004	2004
sample2451	2004	2004	2002	2002
sample2197	2004	2004	2003	2003
sample2709	2004	2004	2004	2004
sample1939	2004	2004	2003	2003
sample2452	2004	2004	2002	2002
sample2198	2004	2004	2004	2004
sample2710	2004	2004	2003	2003
sample2453	2004	2004	2004	2004
sample1940	2004	2004	2002	2002
sample2199	2004	2004	2004	2004
sample2711	2004	2004	2003	2003
sample2454	2004	2004	2002	2002
sample2200	2004	2004	2003	2003
sample1941	2004	2004	2004	2004
sample2712	2004	2004	2003	2003
sample2455	2004	2004	2001	2001
sample2201	2004	2004	2003	2003
sample1942	2004	2004	2001	2001
sample2713	2004	2004	2004	2004
sample2202	2004	2004	2002	2002
sample2456	2004	2004	2002	2002
